Equation_num_0_latex: "\genfrac{(}{)}{0.0pt}{}{n}{k}=\frac{n!}{(n-k)!k!}=\genfrac{(}{)}{0.0pt}{}{n}{n-k}"
Equation_num_60_text_2: "The integral of f of x, from a to b, is F of b minus F of a."

Equation_num_61_latex: "\frac{\mathrm{d}}{\mathrm{d}x}\int^{x}_{a}f(t)\,\mathrm{d}t=f(x)"
Equation_num_61_text_0: "The derivative of the integral from a to x of f of t with respect to t is equal to f of x."
Equation_num_61_text_1: "The rate of change of the area under the curve of f from a to x with respect to x is equal to f of x."
Equation_num_61_text_2: "The slope of the integral of f from a to x with respect to x is equal to f of x."

Equation_num_62_latex: "\int^{b}_{a}f(\phi(x))\phi^{\prime}(x)\,\mathrm{d}x=\int^{\phi(b)}_{\phi(a)}f(t)\,\mathrm{d}t"
Equation_num_62_text_0: "The integral from a to b of f of phi of x, times phi prime of x, dx, is equal to the integral from phi of a to phi of b of f of t, dt."
Equation_num_62_text_1: "The integral of f of phi of x, times phi prime of x, with respect to x from a to b, is equal to the integral of f of t with respect to t from phi of a to phi of b."
Equation_num_62_text_2: "The integral of f of phi of x, times the derivative of phi of x, with respect to x from a to b, is equal to the integral of f of t with respect to t from phi of a to phi of b."

Equation_num_63_latex: "\int^{b}_{a}f(x)\phi(x)\,\mathrm{d}x=f(c)\int^{b}_{a}\phi(x)\,\mathrm{d}x"
Equation_num_63_text_0: "The integral from a to b of f of x times phi of x, dx, is equal to f of c times the integral from a to b of phi of x, dx."
Equation_num_63_text_1: "The integral of f of x times phi of x, from a to b, is equal to f of c times the integral of phi of x, from a to b."
Equation_num_63_text_2: "When you integrate f of x times phi of x from a to b, you get f of c times the integral of phi of x from a to b."

Equation_num_64_latex: "\|f\|^{2}_{2}\equiv\int^{b}_{a}|f(x)|^{2}\,\mathrm{d}x<\infty"
Equation_num_64_text_0: "The norm of f squared, subscript 2, is equal to the integral from a to b of the absolute value of f of x squared, dx, which is less than infinity."
Equation_num_64_text_1: "The square of the norm of f, subscript 2, is the integral from a to b of the absolute value of f of x squared, dx, and it's finite."
Equation_num_64_text_2: "The norm of f squared, subscript 2, is the integral from a to b of the absolute value of f of x squared, dx, and it's a finite value."

Equation_num_65_latex: "\mathcal{V}_{a,b}\left(f\right)=\sup\sum^{n}_{j=1}|f(x_{j})-f(x_{j-1})|"
Equation_num_65_text_0: "V sub a, b of f equals the supremum of the sum from j equals 1 to n of the absolute value of f of x sub j minus f of x sub j minus 1."
Equation_num_65_text_1: "V a, b of f is the highest value obtained by adding up the absolute differences between f evaluated at each x sub j and f evaluated at the previous x sub j, from j equals 1 to n."
Equation_num_65_text_2: "The V function with inputs a, b and f is defined as the largest possible sum of the absolute differences between consecutive evaluations of f at x sub j, where j ranges from 1 to n."

Equation_num_66_latex: "\mathcal{V}_{a,b}\left(f\right)=\int^{b}_{a}\left|f^{\prime}(x)\right|\,\mathrm{d}x"
Equation_num_66_text_0: "V sub a comma b of f equals the integral from a to b of the absolute value of f prime of x, dx."
Equation_num_66_text_1: "V a b of f equals the integral of the absolute value of f prime of x from a to b, dx."
Equation_num_66_text_2: "The V function with limits a and b, applied to f, is equal to the integral of the absolute value of the derivative of f with respect to x, from a to b."

Equation_num_67_latex: "f(x)=\sum^{n}_{k=0}\frac{f^{(k)}(a)}{k!}(x-a)^{k}+R_{n}"
Equation_num_67_text_0: "The function f of x equals the sum from k equals zero to n of f to the k of a divided by k factorial, multiplied by x minus a raised to the power of k, plus R sub n."
Equation_num_67_text_1: "f of x equals the sum of f prime of a divided by k factorial, times x minus a raised to the power of k, from k equals zero to n, plus R sub n."
Equation_num_67_text_2: "The formula for f of x is the sum of f to the k of a divided by k factorial, multiplied by x minus a raised to the power of k, from k equals zero to n, plus R sub n."

Equation_num_68_latex: "R_{n}=\frac{f^{(n+1)}(c)}{(n+1)!}(x-a)^{n+1}"
Equation_num_68_text_0: "R sub n equals f prime to the power of n plus one of c, divided by n plus one factorial, times x minus a to the power of n plus one."
Equation_num_68_text_1: "R sub n equals f prime of n plus one evaluated at c, divided by n plus one factorial, times x minus a raised to the power of n plus one."
Equation_num_68_text_2: "R sub n equals the derivative of f raised to the power of n plus one, evaluated at c, divided by the factorial of n plus one, multiplied by x minus a raised to the power of n plus one."

Equation_num_69_latex: "R_{n}=\frac{1}{n!}\int^{x}_{a}(x-t)^{n}f^{(n+1)}(t)\,\mathrm{d}t"
Equation_num_69_text_0: "R sub n equals one over n factorial times the integral from a to x of the quantity x minus t raised to the power of n, multiplied by the (n+1)th derivative of f with respect to t, dt."
Equation_num_69_text_1: "R sub n equals one over n factorial times the integral from a to x of (x minus t) to the power of n, multiplied by the (n+1)th derivative of f with respect to t, dt."
Equation_num_69_text_2: "R sub n equals one over n factorial times the integral from a to x of x minus t raised to the power of n, multiplied by the (n+1)th derivative of f with respect to t, dt."

Equation_num_70_latex: "f((1-t)c+td)\leq(1-t)f(c)+tf(d"
Equation_num_70_text_0: "Eff of one minus tee sea plus tee dee is less than or equal to one minus tee eff of sea plus tee eff of dee."
Equation_num_70_text_1: "Eff of one minus tee sea plus tee dee is less than or equal to one minus tee times eff of sea plus tee times eff of dee."
Equation_num_70_text_2: "The function of one minus tee sea plus tee dee is less than or equal to one minus tee times the function of sea plus tee times the function of dee."

Equation_num_71_latex: "\lim_{(x,y)\to(a,b)}f(x,y)=f(a,b)"
Equation_num_71_text_0: "The limit of f of x and y as x and y approach a and b is equal to f of a and b."
Equation_num_71_text_1: "As x and y approach a and b, the limit of f of x and y is f of a and b."
Equation_num_71_text_2: "When x and y get closer to a and b, the limit of f of x and y equals f of a and b."

Equation_num_72_latex: "|f(a+\alpha,b+\beta)-f(a,b)|<\epsilon"
Equation_num_72_text_0: "The absolute difference between f of a plus alpha, b plus beta and f of a, b is less than epsilon."
Equation_num_72_text_1: "The absolute value of the difference between f of a plus alpha, b plus beta and f of a, b is smaller than epsilon."
Equation_num_72_text_2: "The magnitude of the discrepancy between f of a plus alpha, b plus beta and f of a, b is less than epsilon."

Equation_num_73_latex: "\frac{\partial f}{\partial x}=D_{x}f=f_{x}=\lim_{h\to 0}\frac{f(x+h,y)-f(x,y)}{h}"
Equation_num_73_text_0: "The partial derivative of f with respect to x is equal to the limit as h approaches zero of the difference quotient of f evaluated at x plus h, y minus f evaluated at x, y divided by h."
Equation_num_73_text_1: "The derivative of f with respect to x is the limit of the change in f over the change in x as the change in x approaches zero."
Equation_num_73_text_2: "To find the rate of change of f with respect to x, we take the limit of the difference in f values at x plus h, y and x, y divided by h as h gets infinitely small."

Equation_num_74_latex: "\frac{\partial f}{\partial y}=D_{y}f=f_{y}=\lim_{h\to 0}\frac{f(x,y+h)-f(x,y)}{h}"
Equation_num_74_text_0: "The partial derivative of f with respect to y is equal to the limit as h approaches zero of the difference between f of x, y plus h and f of x, y, divided by h."
Equation_num_74_text_1: "The derivative of f with respect to y is the limit of the change in f of x, y plus a small amount h, minus f of x, y, divided by h as h approaches zero."
Equation_num_74_text_2: "To find the rate of change of f with respect to y, we take the limit of the difference between f of x, y plus a small increment h and f of x, y, divided by h as h approaches zero."

Equation_num_75_latex: "H\leq G\leq A"
Equation_num_75_text_0: "H is less than or equal to G, and G is less than or equal to A."
Equation_num_75_text_1: "H is smaller than or equal to G, and G is smaller than or equal to A."
Equation_num_75_text_2: "H is at most G, and G is at most A."

Equation_num_76_latex: "\min(a_{1},a_{2},\dots,a_{n})\leq M(r)\leq\max(a_{1},a_{2},\dots,a_{n})"
Equation_num_76_text_0: "The minimum of a sub one, a sub two, dot dot dot, a sub n, is less than or equal to M of r, which is less than or equal to the maximum of a sub one, a sub two, dot dot dot, a sub n."
Equation_num_76_text_1: "The smallest value among a sub one, a sub two, dot dot dot, a sub n, is less than or equal to M of r, which is less than or equal to the largest value among a sub one, a sub two, dot dot dot, a sub n."
Equation_num_76_text_2: "The lowest number in the set a sub one, a sub two, dot dot dot, a sub n, is less than or equal to M of r, which is less than or equal to the highest number in the set a sub one, a sub two, dot dot dot, a sub n."

Equation_num_77_latex: "M(r)\leq M(s)"
Equation_num_77_text_0: "M of r is less than or equal to M of s."
Equation_num_77_text_1: "The value of M for r is smaller than or equal to the value of M for s."
Equation_num_77_text_2: "M evaluated at r is less than or equal to M evaluated at s."

Equation_num_78_latex: "\phi\left(\int^{1}_{0}f(x)\,\mathrm{d}x\right)\leq\int^{1}_{0}\phi(f(x))\,\mathrm{d}x"
Equation_num_78_text_0: "Phi of the integral from 0 to 1 of f of x dx is less than or equal to the integral from 0 to 1 of phi of f of x dx."
Equation_num_78_text_1: "The value of phi applied to the integral of f of x from 0 to 1 is less than or equal to the integral of phi applied to f of x from 0 to 1."
Equation_num_78_text_2: "When we take the integral of f of x from 0 to 1 and apply phi to it, the result is less than or equal to the integral of phi applied to f of x from 0 to 1."

Equation_num_79_latex: "\exp\left(\int^{1}_{0}\ln\left(f(x)\right)\,\mathrm{d}x\right)<\int^{1}_{0}f(x)\,\mathrm{d}x"
Equation_num_79_text_0: "E to the power of the integral from 0 to 1 of the natural logarithm of f of x dx is less than the integral from 0 to 1 of f of x dx."
Equation_num_79_text_1: "Exponential of the integral from 0 to 1 of the natural logarithm of f of x dx is smaller than the integral from 0 to 1 of f of x dx."
Equation_num_79_text_2: "The exponential of the integral from 0 to 1 of the natural logarithm of f of x dx is less than the integral from 0 to 1 of f of x dx."

Equation_num_80_latex: "f(x)=\tfrac{1}{2}a_{0}+\sum^{\infty}_{n=1}(a_{n}\cos\left(nx\right)+b_{n}\sin\left(nx\right))"
Equation_num_80_text_0: "The function f of x equals one-half times a sub-zero, plus the sum from n equals one to infinity of a sub-n times the cosine of nx, plus b sub-n times the sine of nx."
Equation_num_80_text_1: "The formula for f of x is one-half times a sub-zero, plus the sum of a sub-n times the cosine of nx, and b sub-n times the sine of nx, where n ranges from one to infinity."
Equation_num_80_text_2: "In this equation, f of x is equal to one-half times a sub-zero, plus the sum of a sub-n times the cosine of nx, and b sub-n times the sine of nx, where n starts from one and goes to infinity."

Equation_num_81_latex: "z=x+iy"
Equation_num_81_text_0: "Z equals x plus iy."
Equation_num_81_text_1: "Z is equal to x plus iy."
Equation_num_81_text_2: "Z equals x plus iy."

Equation_num_82_latex: "f(z)=\sum^{\infty}_{n=0}\frac{f^{(n)}(z_{0})}{n!}(z-z_{0})^{n}"
Equation_num_82_text_0: "The function f of z equals the sum from n equals zero to infinity of f prime of n of z sub zero divided by n factorial, times z minus z sub zero raised to the power of n."
Equation_num_82_text_1: "f of z equals the sum of f prime of n of z sub zero divided by n factorial, times z minus z sub zero raised to the power of n, where n ranges from zero to infinity."
Equation_num_82_text_2: "The formula for f of z is the sum of f prime of n of z sub zero divided by n factorial, times z minus z sub zero raised to the power of n, where n starts from zero and goes to infinity."

Equation_num_83_latex: "e^{z}=1+\frac{z}{1!}+\frac{z^{2}}{2!}+\cdots"
Equation_num_83_text_0: "e to the power of z equals one plus z over one factorial plus z squared over two factorial plus dot dot dot."
Equation_num_83_text_1: "The exponential function of z is equal to one plus z divided by one factorial plus z squared divided by two factorial plus so on."
Equation_num_83_text_2: "The formula for e raised to the power of z is one plus z over one factorial plus z squared over two factorial and so on."

Equation_num_84_latex: "\ln\left(1+z\right)=z-\frac{z^{2}}{2}+\frac{z^{3}}{3}-\cdots"
Equation_num_84_text_0: "The natural logarithm of one plus z equals z minus z squared over two plus z cubed over three, and so on."
Equation_num_84_text_1: "The logarithm of one plus z, written as ln(1+z), can be approximated by z minus z squared over two plus z cubed over three, and so on."
Equation_num_84_text_2: "To find the natural logarithm of one plus z, we can use the series expansion: z minus z squared over two plus z cubed over three, and so on."

Equation_num_85_latex: "f(\overline{z})=\overline{f(z)}"
Equation_num_85_text_0: "The function f of z-bar equals the complex conjugate of f of z."
Equation_num_85_text_1: "f of z-bar is equal to the conjugate of f of z."
Equation_num_85_text_2: "The function f of z-bar is the mirror image of f of z."

Equation_num_86_latex: "f(z)=\sum^{\infty}_{n=-\infty}a_{n}(z-z_{0})^{n}"
Equation_num_86_text_0: "The function f of z is equal to the sum from negative infinity to infinity of a sub n times the quantity z minus z sub 0 raised to the power of n."
Equation_num_86_text_1: "The formula for f of z is the sum of a sub n times the quantity z minus z sub 0 raised to the power of n, where n ranges from negative infinity to infinity."
Equation_num_86_text_2: "We have the function f of z represented by the sum of a sub n times the quantity z minus z sub 0 raised to the power of n, where n ranges from negative infinity to infinity."

Equation_num_87_latex: "a_{n}=\frac{1}{2\pi i}\int_{|z-z_{0}|=r}\frac{f(z)}{(z-z_{0})^{n+1}}\,\mathrm{d}z"
Equation_num_87_text_0: "a sub n equals one over two pi i times the integral along the circle with radius r centered at z sub zero of f of z divided by the quantity z minus z sub zero raised to the power of n plus one, d z."
Equation_num_87_text_1: "a sub n equals one over two pi i times the integral of f of z divided by z minus z sub zero raised to the power of n plus one, taken along a circle with radius r centered at z sub zero."
Equation_num_87_text_2: "To find a sub n, we take the integral of f of z divided by z minus z sub zero raised to the power of n plus one, along a circle with radius r centered at z sub zero. Then, we multiply the result by one over two pi i."

Equation_num_88_latex: "\frac{1}{2\pi i}\int_{C}f(z)\,\mathrm{d}z=\mbox{sum of the residues of $f(z)$ within $C$}"
Equation_num_88_text_0: "One over two pi i, integral over C of f of z, d z, equals sum of the residues of f of z within C."
Equation_num_88_text_1: "One over two pi i, integral over C of f of z, d z, is equal to the sum of the residues of f of z within C."
Equation_num_88_text_2: "The result of one over two pi i, integral over C of f of z, d z, is the sum of the residues of f of z within C."

Equation_num_89_latex: "|f(z)|\leq\frac{M|z|}{R}\;\mbox{ and }\;|f^{\prime}(0)|\leq\frac{M}{R}"
Equation_num_89_text_0: "The absolute value of f of z is less than or equal to M times the absolute value of z divided by R, and the absolute value of f prime of 0 is less than or equal to M divided by R."
Equation_num_89_text_1: "The magnitude of f of z is at most M times the magnitude of z divided by R, and the magnitude of f prime of 0 is at most M divided by R."
Equation_num_89_text_2: "The absolute value of f of z is bounded by M times the absolute value of z divided by R, and the absolute value of f prime of 0 is bounded by M divided by R."

Equation_num_90_latex: ""
Equation_num_90_text_0: "F equals M times A."
Equation_num_90_text_1: "Force equals mass multiplied by acceleration."
Equation_num_90_text_2: "The formula is F equals M times A."

Equation_num_91_latex: "g(F(w))=g(z_{0})+\sum^{\infty}_{n=1}G_{n}(w-w_{0})^{n}"
Equation_num_91_text_0: "g of F of w equals g of z sub zero plus the sum from n equals 1 to infinity of G sub n times the quantity w minus w sub zero raised to the power of n."
Equation_num_91_text_1: "The function g of F of w is equal to g of z sub zero plus the sum of G sub n times the quantity w minus w sub zero raised to the power of n, where n ranges from 1 to infinity."
Equation_num_91_text_2: "We have g of F of w equals g of z sub zero plus the sum of G sub n times the quantity w minus w sub zero raised to the power of n, where n starts from 1 and goes to infinity."

Equation_num_92_latex: "f(z)=f(z_{0})+\sum^{\infty}_{n=0}f_{n}(z-z_{0})^{\mu+n}"
Equation_num_92_text_0: "Eff of z equals eff of z sub zero plus the sum from n equals zero to infinity of eff sub n times open parenthesis z minus z sub zero close parenthesis raised to the power of mu plus n."
Equation_num_92_text_1: "Eff of z equals eff of z sub zero plus the sum of eff sub n times open parenthesis z minus z sub zero close parenthesis raised to the power of mu plus n, as n goes from zero to infinity."
Equation_num_92_text_2: "The function f of z is equal to f of z sub zero plus the sum of f sub n times open parenthesis z minus z sub zero close parenthesis raised to the power of mu plus n, where n ranges from zero to infinity."

Equation_num_93_latex: "g(F(w))=g(z_{0})+\sum^{\infty}_{n=1}G_{n}(w-w_{0})^{n/\mu}"
Equation_num_93_text_0: "g of F of w equals g of z sub zero plus the sum from n equals 1 to infinity of G sub n times the quantity w minus w sub zero raised to the power of n divided by mu."
Equation_num_93_text_1: "g of F of w equals g of z sub zero plus the sum of G sub n times the quantity w minus w sub zero raised to the power of n divided by mu, where n ranges from 1 to infinity."
Equation_num_93_text_2: "The function g of F of w is equal to g of z sub zero plus the sum of G sub n times the quantity w minus w sub zero raised to the power of n divided by mu, where n starts from 1 and goes to infinity."

Equation_num_94_latex: "F(z)=\int^{b}_{a}f(z,t)\,\mathrm{d}"
Equation_num_94_text_0: "F of z equals the integral from a to b of f of z comma t, d t."
Equation_num_94_text_1: "F of z equals the integral of f of z with respect to t, evaluated from a to b."
Equation_num_94_text_2: "F of z is the integral of f of z with respect to t, ranging from a to b."

Equation_num_95_latex: "|\ln\left(1+a_{n}(z)\right)|\leq M_{n}"
Equation_num_95_text_0: "The natural logarithm of one plus a sub n of z is less than or equal to M sub n."
Equation_num_95_text_1: "The absolute value of the natural logarithm of one plus a sub n of z is not greater than M sub n."
Equation_num_95_text_2: "The logarithm of one plus a sub n of z, absolute value, is bounded by M sub n."

Equation_num_96_latex: "\sum^{\infty}_{n=1}M_{n}<\infty"
Equation_num_96_text_0: "The sum from n equals 1 to infinity of M sub n is less than infinity."
Equation_num_96_text_1: "The infinite sum of M sub n, where n starts from 1, is finite."
Equation_num_96_text_2: "The sum of M sub n, as n goes from 1 to infinity, is not infinite."

Equation_num_97_latex: "P(z)=\prod^{\infty}_{n=1}\left(1-\frac{z}{z_{n}}\right)e^{z/z_{n}"
Equation_num_97_text_0: "P of z equals the product from n equals 1 to infinity of one minus z over z sub n, times e to the power of z over z sub n."
Equation_num_97_text_1: "P of z equals the product of one minus z over z sub n, for all n from 1 to infinity, multiplied by e to the power of z over z sub n."
Equation_num_97_text_2: "P of z is the result of multiplying one minus z over z sub n, for every n starting from 1 and going up to infinity, and then multiplying it by e to the power of z over z sub n."

Equation_num_98_latex: "F(z)=\prod^{\infty}_{n=1}a_{n}(z)"
Equation_num_98_text_0: "F of z equals the product from n equals 1 to infinity of a sub n times z."
Equation_num_98_text_1: "F of z equals the infinite product of a sub n times z, where n starts from 1."
Equation_num_98_text_2: "F of z is the result of multiplying a sub n with z, as n ranges from 1 to infinity."

Equation_num_99_latex: "\frac{F^{\prime}(z)}{F(z)}=\sum^{\infty}_{n=1}\frac{a_{n}^{\prime}(z)}{a_{n}(z)}"
Equation_num_99_text_0: "F prime of z divided by F of z equals the sum from n equals 1 to infinity of a prime sub n of z divided by a sub n of z."
Equation_num_99_text_1: "The ratio of F prime of z to F of z is equal to the sum of a prime sub n of z divided by a sub n of z, where n ranges from 1 to infinity."
Equation_num_99_text_2: "To find the ratio of the derivative of F with respect to z to F itself, we sum the ratios of the derivatives of a sub n with respect to z to a sub n, as n goes from 1 to infinity."

Equation_num_100_latex: "f(z)=\sum^{\infty}_{n=1}a_{n}\left(\frac{1}{z-z_{n}}+\frac{1}{z_{n}}\right"
Equation_num_100_text_0: "The function f of z is equal to the sum from n equals 1 to infinity of a sub n times the quantity one over z minus z sub n plus one over z sub n."
Equation_num_100_text_1: "The formula for f of z is the sum of a sub n times one over z minus z sub n plus one over z sub n, where n ranges from 1 to infinity."
Equation_num_100_text_2: "We have the function f of z represented by the infinite sum of a sub n times the expression one over z minus z sub n plus one over z sub n, with n starting from 1 and going to infinity."

Equation_num_101_latex: "f(z)=a_{n}z^{n}+a_{n-1}z^{n-1}+\dots+a_{0}"
Equation_num_101_text_0: "The function f of z equals a sub n times z to the power of n, plus a sub n minus 1 times z to the power of n minus 1, and so on, up to a sub 0."
Equation_num_101_text_1: "The formula for f of z is a sub n times z to the power of n, plus a sub n minus 1 times z to the power of n minus 1, and so on, up to a sub 0."
Equation_num_101_text_2: "In this equation, f of z is equal to the sum of a sub n times z to the power of n, a sub n minus 1 times z to the power of n minus 1, and so on, up to a sub 0."

Equation_num_102_latex: "f(z)=(z-\alpha)(b_{n}z^{n-1}+b_{n-1}z^{n-2}+\dots+b_{1})+b_{0}"
Equation_num_102_text_0: "The function f of z is equal to the quantity z minus alpha, multiplied by the sum of b sub n times z to the power of n minus 1, plus b sub n minus 1 times z to the power of n minus 2, and so on, all the way up to b sub 1. Then we add b sub 0."
Equation_num_102_text_1: "The formula for f of z is given by z minus alpha, multiplied by the sum of b sub n times z to the power of n minus 1, plus b sub n minus 1 times z to the power of n minus 2, and so on, up to b sub 1. Finally, we add b sub 0."
Equation_num_102_text_2: "To calculate f of z, we take z minus alpha and multiply it by the sum of b sub n times z to the power of n minus 1, plus b sub n minus 1 times z to the power of n minus 2, and so on, up to b sub 1. Then we add b sub 0."

Equation_num_103_latex: "b_{k}=\alpha b_{k+1}+a_{k}"
Equation_num_103_text_0: "b sub k equals alpha times b sub k plus 1 plus a sub k."
Equation_num_103_text_1: "b k equals alpha times b k plus 1 plus a k."
Equation_num_103_text_2: "b k equals alpha b k plus 1 plus a k."

Equation_num_104_latex: "f(\alpha)=b_{0}"
Equation_num_104_text_0: "Eff of alpha equals bee sub zero."
Equation_num_104_text_1: "Function of alpha equals b sub zero."
Equation_num_104_text_2: "F of alpha equals b naught."

Equation_num_105_latex: "c_{k}=\alpha c_{k+1}+b_{k}"
Equation_num_105_text_0: "C sub k equals alpha times C sub k plus 1 plus B sub k."
Equation_num_105_text_1: "C k equals alpha times C k plus 1 plus B k."
Equation_num_105_text_2: "C k equals alpha C k plus 1 plus B k."

Equation_num_106_latex: "f^{\prime}(\alpha)=c_{1}"
Equation_num_106_text_0: "The derivative of f with respect to alpha is equal to c sub 1."
Equation_num_106_text_1: "The rate of change of f with respect to alpha is c sub 1."
Equation_num_106_text_2: "The slope of the function f at alpha is c sub 1."

Equation_num_107_latex: "f(z)=g(z)q(z)+r(z)"
Equation_num_107_text_0: "Eff of z equals gee of z times cue of z plus are of z."
Equation_num_107_text_1: "Function of z equals g of z multiplied by q of z plus r of z."
Equation_num_107_text_2: "The value of f at z is equal to the value of g at z times the value of q at z, plus the value of r at z."

Equation_num_108_latex: "\cfracstyle{d}b_{0}+\cfrac{a_{1}}{b_{1}+\cfrac{a_{2}}{b_{2}+\raisebox{-6.0pt}{$\ddots$}}"
Equation_num_108_text_0: "dee divided by bee sub zero, plus a one divided by bee sub one, plus a two divided by bee sub two, and so on."
Equation_num_108_text_1: "dee over bee sub zero, plus a one over bee sub one, plus a two over bee sub two, and so on."
Equation_num_108_text_2: "dee over bee zero, plus a one over bee one, plus a two over bee two, and so on."

Equation_num_109_latex: "b_{0}+\cfrac{a_{1}}{b_{1}+\cfrac{a_{2}}{b_{2}+}}\cdots"
Equation_num_109_text_0: "b sub zero plus a sub one divided by b sub one plus a sub two divided by b sub two, and so on."
Equation_num_109_text_1: "b zero plus a one over b one plus a two over b two, and so on."
Equation_num_109_text_2: "b naught plus a one over b one plus a two over b two, and so on."

